Dataset_CustomerNo,MAX_TRANSACTION,MONETARY,FREQUENCY,RECENCY,F Score,M Score,R Score,RFM Score,Customer Segment,RECENCY2
17558,12/1/2018 0:00,153.5,1,364,1,1,1,111,At Risk,364
13190,8/12/2019 0:00,57.65,1,110,1,1,2,211,Casual Shoppers,110
16073,2/15/2019 0:00,617.28,1,288,1,1,1,111,At Risk,288
16093,8/25/2019 0:00,222.4,1,97,1,1,2,211,Casual Shoppers,97
17331,8/8/2019 0:00,343.52,1,114,1,1,2,211,Casual Shoppers,114
16144,4/7/2019 0:00,343.52,1,237,1,1,1,111,At Risk,237
16078,3/1/2019 0:00,245.12,1,274,1,1,1,111,At Risk,274
15070,12/2/2018 0:00,477.72,1,363,1,1,1,111,At Risk,363
13106,7/29/2019 0:00,262.98,1,124,1,1,2,211,Casual Shoppers,124
15423,11/1/2019 0:00,1062,1,29,1,1,4,411,Casual Shoppers,29
14520,2/22/2019 0:00,597,1,281,1,1,1,111,At Risk,281
15316,1/17/2019 0:00,597,1,317,1,1,1,111,At Risk,317
14705,5/25/2019 0:00,604,1,189,1,1,1,111,At Risk,189
16990,5/5/2019 0:00,604,1,209,1,1,1,111,At Risk,209
15488,9/8/2019 0:00,816.48,1,83,1,1,2,211,Casual Shoppers,83
15668,5/6/2019 0:00,816.48,1,208,1,1,1,111,At Risk,208
16148,2/16/2019 0:00,816.48,1,287,1,1,1,111,At Risk,287
14090,1/19/2019 0:00,816.48,1,315,1,1,1,111,At Risk,315
18113,12/6/2018 0:00,816.48,1,359,1,1,1,111,At Risk,359
17291,2/4/2019 0:00,1302.48,1,299,1,1,1,111,At Risk,299
13366,10/20/2019 0:00,1533.6,1,41,1,2,3,312,Casual Shoppers,41
17948,7/15/2019 0:00,1843.2,1,138,1,2,2,212,Casual Shoppers,138
16323,5/27/2019 0:00,725,1,187,1,1,1,111,At Risk,187
17923,3/2/2019 0:00,725,1,273,1,1,1,111,At Risk,273
13204,3/29/2019 0:00,357.98,1,246,1,1,1,111,At Risk,246
18184,11/24/2019 0:00,371.4,1,6,1,1,5,511,Casual Shoppers,6
12917,8/3/2019 0:00,919.2,1,119,1,1,2,211,Casual Shoppers,119
13270,12/8/2018 0:00,2654,1,357,1,2,1,112,At Risk,357
18084,11/23/2019 0:00,1912.56,1,7,1,2,5,512,Casual Shoppers,7
16881,10/4/2019 0:00,6594,1,57,1,3,3,313,High-Potential Customers,57
13099,9/1/2019 0:00,3165.12,1,90,1,2,2,212,Casual Shoppers,90
18133,5/11/2019 0:00,14796,1,203,1,5,1,115,At Risk,203
18087,2/22/2019 0:00,43317.54,1,281,1,5,1,115,At Risk,281
15562,12/23/2018 0:00,537.81,1,342,1,1,1,111,At Risk,342
12252,12/6/2018 0:00,344.72,1,359,1,1,1,111,At Risk,359
16737,10/17/2019 0:00,3381.12,1,44,1,3,3,313,High-Potential Customers,44
17347,9/14/2019 0:00,2449.44,1,77,1,2,2,212,Casual Shoppers,77
17752,12/15/2018 0:00,2050.56,1,350,1,2,1,112,At Risk,350
17443,5/4/2019 0:00,5715.36,1,210,1,3,1,113,At Risk,210
12791,12/1/2018 0:00,1166.4,1,364,1,1,1,111,At Risk,364
12814,8/30/2019 0:00,579.84,1,92,1,1,2,211,Casual Shoppers,92
12603,11/18/2019 0:00,1202.32,1,12,1,1,5,511,Casual Shoppers,12
12367,7/18/2019 0:00,23.32,1,135,1,1,2,211,Casual Shoppers,135
13691,7/29/2019 0:00,249.9,10,124,1,1,2,211,Casual Shoppers,124
12050,7/14/2019 0:00,141.67,10,139,1,1,2,211,Casual Shoppers,139
17887,8/2/2019 0:00,421.58,10,120,1,1,2,211,Casual Shoppers,120
15565,10/20/2019 0:00,819.72,10,41,1,1,3,311,Casual Shoppers,41
12966,11/30/2019 0:00,543,10,0,1,1,5,511,Casual Shoppers,0
17791,11/10/2019 0:00,520.47,10,20,1,1,4,411,Casual Shoppers,20
12929,10/19/2019 0:00,535.39,10,42,1,1,3,311,Casual Shoppers,42
16074,12/15/2018 0:00,169.63,10,350,1,1,1,111,At Risk,350
16591,10/2/2019 0:00,639.06,10,59,1,1,3,311,Casual Shoppers,59
15888,9/20/2019 0:00,853.37,10,71,1,1,3,311,Casual Shoppers,71
14714,11/15/2019 0:00,2511.35,10,15,1,2,4,412,Casual Shoppers,15
12242,6/27/2019 0:00,499.9,10,156,1,1,2,211,Casual Shoppers,156
17805,9/27/2019 0:00,5425.36,10,64,1,3,3,313,High-Potential Customers,64
17538,11/14/2019 0:00,1485.32,10,16,1,2,4,412,Casual Shoppers,16
14438,2/18/2019 0:00,680.84,10,285,1,1,1,111,At Risk,285
16565,9/27/2019 0:00,949.06,10,64,1,1,3,311,Casual Shoppers,64
15836,10/20/2019 0:00,407.28,10,41,1,1,3,311,Casual Shoppers,41
15412,6/21/2019 0:00,1302.18,10,162,1,1,2,211,Casual Shoppers,162
12902,3/20/2019 0:00,818.54,10,255,1,1,1,111,At Risk,255
13513,8/5/2019 0:00,1327.34,10,117,1,1,2,211,Casual Shoppers,117
16097,4/13/2019 0:00,1081.31,10,231,1,1,1,111,At Risk,231
14924,4/8/2019 0:00,973.75,10,236,1,1,1,111,At Risk,236
17496,12/16/2018 0:00,1087.48,10,349,1,1,1,111,At Risk,349
14208,9/6/2019 0:00,1323.9,10,85,1,1,2,211,Casual Shoppers,85
13229,4/28/2019 0:00,810.66,10,216,1,1,1,111,At Risk,216
13417,5/18/2019 0:00,979.84,10,196,1,1,1,111,At Risk,196
16611,6/6/2019 0:00,614.39,10,177,1,1,2,211,Casual Shoppers,177
13806,10/7/2019 0:00,836.74,10,54,1,1,3,311,Casual Shoppers,54
16050,6/19/2019 0:00,2990.52,10,164,1,2,2,212,Casual Shoppers,164
13062,6/1/2019 0:00,3847.08,10,182,1,3,2,213,Casual Shoppers,182
16858,12/6/2018 0:00,1317.56,10,359,1,1,1,111,At Risk,359
15327,10/18/2019 0:00,1403.22,10,43,1,1,3,311,Casual Shoppers,43
16313,10/21/2019 0:00,848.22,10,40,1,1,3,311,Casual Shoppers,40
13061,9/28/2019 0:00,1232,10,63,1,1,3,311,Casual Shoppers,63
15733,3/2/2019 0:00,801.74,10,273,1,1,1,111,At Risk,273
14271,4/28/2019 0:00,1017.1,10,216,1,1,1,111,At Risk,216
17187,4/27/2019 0:00,1684.93,10,217,1,2,1,112,At Risk,217
18280,3/7/2019 0:00,623.26,10,268,1,1,1,111,At Risk,268
17165,2/28/2019 0:00,1187.58,10,275,1,1,1,111,At Risk,275
15262,1/20/2019 0:00,931.56,10,314,1,1,1,111,At Risk,314
13295,12/15/2018 0:00,1046.54,10,350,1,1,1,111,At Risk,350
16680,10/27/2019 0:00,972.66,10,34,1,1,4,411,Casual Shoppers,34
16835,8/3/2019 0:00,562.9,10,119,1,1,2,211,Casual Shoppers,119
17737,11/30/2019 0:00,985.92,10,0,1,1,5,511,Casual Shoppers,0
14241,6/9/2019 0:00,1715.1,10,174,1,2,2,212,Casual Shoppers,174
18224,3/21/2019 0:00,870.07,10,254,1,1,1,111,At Risk,254
17714,1/23/2019 0:00,1099.66,10,311,1,1,1,111,At Risk,311
13712,4/7/2019 0:00,3842.82,10,237,1,3,1,113,At Risk,237
13976,5/17/2019 0:00,1945.26,10,197,1,2,1,112,At Risk,197
15198,9/8/2019 0:00,1428.4,10,83,1,1,2,211,Casual Shoppers,83
14727,3/10/2019 0:00,910.72,10,265,1,1,1,111,At Risk,265
13029,11/9/2019 0:00,2470.7,10,21,1,2,4,412,Casual Shoppers,21
16403,1/31/2019 0:00,1108.74,10,303,1,1,1,111,At Risk,303
13483,10/5/2019 0:00,1783.78,10,56,1,2,3,312,Casual Shoppers,56
14889,1/7/2019 0:00,1001.88,10,327,1,1,1,111,At Risk,327
15683,8/14/2019 0:00,1479.36,10,108,1,1,2,211,Casual Shoppers,108
16080,9/19/2019 0:00,1410.68,10,72,1,1,3,311,Casual Shoppers,72
13108,12/2/2018 0:00,3413.5,10,363,1,3,1,113,At Risk,363
14501,6/9/2019 0:00,1907.6,10,174,1,2,2,212,Casual Shoppers,174
18165,6/15/2019 0:00,2913.76,10,168,1,2,2,212,Casual Shoppers,168
16598,2/27/2019 0:00,897.08,10,276,1,1,1,111,At Risk,276
13434,9/26/2019 0:00,3623.04,10,65,1,3,3,313,High-Potential Customers,65
15432,11/16/2019 0:00,841.53,10,14,1,1,4,411,Casual Shoppers,14
17723,8/4/2019 0:00,11473.34,10,118,1,4,2,214,At Risk,118
18146,7/22/2019 0:00,1732.11,10,131,1,2,2,212,Casual Shoppers,131
17118,1/26/2019 0:00,1500.84,10,308,1,2,1,112,At Risk,308
18066,9/25/2019 0:00,1432.66,10,66,1,1,3,311,Casual Shoppers,66
17871,5/19/2019 0:00,2025,10,195,1,2,1,112,At Risk,195
17317,10/24/2019 0:00,14468.52,10,37,1,5,3,315,High-Potential Customers,37
12879,10/26/2019 0:00,4379.12,10,35,1,3,3,313,High-Potential Customers,35
13181,11/18/2019 0:00,7804.56,10,12,1,4,5,514,Enthusiastic Spenders,12
15749,4/18/2019 0:00,230408.4,10,226,1,5,1,115,At Risk,226
12441,12/8/2018 0:00,1389.3,10,357,1,1,1,111,At Risk,357
12618,11/18/2019 0:00,1114.39,10,12,1,1,5,511,Casual Shoppers,12
14935,2/15/2019 0:00,11415,10,288,1,4,1,114,At Risk,288
12386,1/6/2019 0:00,4040.3,10,328,1,3,1,113,At Risk,328
15388,3/14/2019 0:00,1046.04,10,261,1,1,1,111,At Risk,261
12672,1/14/2019 0:00,931.2,10,320,1,1,1,111,At Risk,320
13811,6/9/2019 0:00,1178.73,10,174,1,1,2,211,Casual Shoppers,174
12430,10/27/2019 0:00,1410.68,10,34,1,1,4,411,Casual Shoppers,34
12574,1/28/2019 0:00,791.58,10,306,1,1,1,111,At Risk,306
12622,4/21/2019 0:00,801.12,10,223,1,1,1,111,At Risk,223
12402,1/20/2019 0:00,837.5,10,314,1,1,1,111,At Risk,314
12738,12/2/2018 0:00,1647.17,10,363,1,2,1,112,At Risk,363
16405,2/10/2019 0:00,2087.61,5,293,1,2,1,112,At Risk,293
12537,11/30/2019 0:00,30.95,5,0,1,1,5,511,Casual Shoppers,0
17308,10/28/2019 0:00,86.15,5,33,1,1,4,411,Casual Shoppers,33
17991,4/28/2019 0:00,351.85,5,216,1,1,1,111,At Risk,216
18019,10/19/2019 0:00,111.14,5,42,1,1,3,311,Casual Shoppers,42
13653,5/25/2019 0:00,60.14,5,189,1,1,1,111,At Risk,189
17322,3/30/2019 0:00,67.78,5,245,1,1,1,111,At Risk,245
15337,6/28/2019 0:00,60.62,5,155,1,1,2,211,Casual Shoppers,155
16301,9/19/2019 0:00,70.42,5,72,1,1,3,311,Casual Shoppers,72
12024,6/16/2019 0:00,149.52,5,167,1,1,2,211,Casual Shoppers,167
15945,4/5/2019 0:00,784.4,5,239,1,1,1,111,At Risk,239
12968,8/19/2019 0:00,887.57,5,103,1,1,2,211,Casual Shoppers,103
14962,3/14/2019 0:00,580.91,5,261,1,1,1,111,At Risk,261
15849,2/1/2019 0:00,283.31,5,302,1,1,1,111,At Risk,302
16462,10/10/2019 0:00,341.28,5,51,1,1,3,311,Casual Shoppers,51
18227,5/6/2019 0:00,311.32,5,208,1,1,1,111,At Risk,208
15083,3/28/2019 0:00,480.02,5,247,1,1,1,111,At Risk,247
15042,5/24/2019 0:00,446.76,5,190,1,1,1,111,At Risk,190
15217,9/26/2019 0:00,129.25,5,65,1,1,3,311,Casual Shoppers,65
14393,5/5/2019 0:00,202.88,5,209,1,1,1,111,At Risk,209
16542,10/17/2019 0:00,593.98,5,44,1,1,3,311,Casual Shoppers,44
15063,5/10/2019 0:00,954.02,5,204,1,1,1,111,At Risk,204
15445,3/20/2019 0:00,710.76,5,255,1,1,1,111,At Risk,255
16424,6/1/2019 0:00,1038.78,5,182,1,1,2,211,Casual Shoppers,182
13645,8/11/2019 0:00,1877.86,5,111,1,2,2,212,Casual Shoppers,111
14259,7/21/2019 0:00,819.92,5,132,1,1,2,211,Casual Shoppers,132
14295,10/30/2019 0:00,1031.16,5,31,1,1,4,411,Casual Shoppers,31
16363,10/17/2019 0:00,645,5,44,1,1,3,311,Casual Shoppers,44
15593,9/30/2019 0:00,819.72,5,61,1,1,3,311,Casual Shoppers,61
13218,8/4/2019 0:00,966.36,5,118,1,1,2,211,Casual Shoppers,118
13296,7/25/2019 0:00,889.08,5,128,1,1,2,211,Casual Shoppers,128
17900,6/2/2019 0:00,837.72,5,181,1,1,2,211,Casual Shoppers,181
18032,1/9/2019 0:00,505.8,5,325,1,1,1,111,At Risk,325
13223,5/23/2019 0:00,1069.16,5,191,1,1,1,111,At Risk,191
14147,9/22/2019 0:00,1602.28,5,69,1,2,3,312,Casual Shoppers,69
13522,11/9/2019 0:00,579.96,5,21,1,1,4,411,Casual Shoppers,21
15729,5/11/2019 0:00,374.08,5,203,1,1,1,111,At Risk,203
17060,3/18/2019 0:00,2454.72,5,257,1,2,1,112,At Risk,257
17707,6/7/2019 0:00,1632,5,176,1,2,2,212,Casual Shoppers,176
14437,12/9/2018 0:00,679.56,5,356,1,1,1,111,At Risk,356
15703,3/20/2019 0:00,893.22,5,255,1,1,1,111,At Risk,255
14760,2/15/2019 0:00,501.36,5,288,1,1,1,111,At Risk,288
15212,4/12/2019 0:00,473.32,5,232,1,1,1,111,At Risk,232
16623,4/8/2019 0:00,532.41,5,236,1,1,1,111,At Risk,236
15168,11/14/2019 0:00,642.32,5,16,1,1,4,411,Casual Shoppers,16
15350,12/1/2018 0:00,641.16,5,364,1,1,1,111,At Risk,364
12888,5/9/2019 0:00,1141.76,5,205,1,1,1,111,At Risk,205
15347,12/8/2018 0:00,1538.92,5,357,1,2,1,112,At Risk,357
18050,12/15/2018 0:00,486.22,5,350,1,1,1,111,At Risk,350
14752,10/27/2019 0:00,3064.96,5,34,1,2,4,412,Casual Shoppers,34
17163,11/18/2019 0:00,977.04,5,12,1,1,5,511,Casual Shoppers,12
15661,1/26/2019 0:00,2737.16,5,308,1,2,1,112,At Risk,308
18240,10/24/2019 0:00,805.26,5,37,1,1,3,311,Casual Shoppers,37
16620,3/24/2019 0:00,529.02,5,251,1,1,1,111,At Risk,251
13079,11/18/2019 0:00,584.34,5,12,1,1,5,511,Casual Shoppers,12
17548,4/20/2019 0:00,700.32,5,224,1,1,1,111,At Risk,224
15612,11/3/2019 0:00,707.55,5,27,1,1,4,411,Casual Shoppers,27
17628,9/19/2019 0:00,887.12,5,72,1,1,3,311,Casual Shoppers,72
14155,3/18/2019 0:00,328.9,5,257,1,1,1,111,At Risk,257
13299,3/16/2019 0:00,453.48,5,259,1,1,1,111,At Risk,259
17440,7/6/2019 0:00,2712.66,5,147,1,2,2,212,Casual Shoppers,147
14463,9/2/2019 0:00,2352.14,5,89,1,2,2,212,Casual Shoppers,89
17640,9/14/2019 0:00,3199.34,5,77,1,2,2,212,Casual Shoppers,77
17578,5/5/2019 0:00,1561.56,5,209,1,2,1,112,At Risk,209
17929,11/28/2019 0:00,1766.8,5,2,1,2,5,512,Casual Shoppers,2
13848,9/8/2019 0:00,39218,5,83,1,5,2,215,At Risk,83
15222,1/25/2019 0:00,4523.6,5,309,1,3,1,113,At Risk,309
15171,1/12/2019 0:00,4293.9,5,322,1,3,1,113,At Risk,322
14124,9/16/2019 0:00,17016.46,5,75,1,5,2,215,At Risk,75
12823,9/26/2019 0:00,4160.7,5,65,1,3,3,313,High-Potential Customers,65
16377,3/17/2019 0:00,16072.8,5,258,1,5,1,115,At Risk,258
16698,4/27/2019 0:00,10655.2,5,217,1,4,1,114,At Risk,217
17844,8/25/2019 0:00,585.8,5,97,1,1,2,211,Casual Shoppers,97
13916,11/1/2019 0:00,186.89,11,29,1,1,4,411,Casual Shoppers,29
14975,10/13/2019 0:00,4181.71,11,48,1,3,3,313,High-Potential Customers,48
15895,7/13/2019 0:00,1147.29,11,140,1,1,2,211,Casual Shoppers,140
13751,2/24/2019 0:00,1296.44,11,279,1,1,1,111,At Risk,279
16640,12/2/2018 0:00,159.73,11,363,1,1,1,111,At Risk,363
16189,11/24/2019 0:00,1391.72,11,6,1,1,5,511,Casual Shoppers,6
12761,10/12/2019 0:00,210.39,11,49,1,1,3,311,Casual Shoppers,49
12858,12/8/2018 0:00,179.3,11,357,1,1,1,111,At Risk,357
15753,2/8/2019 0:00,1733.76,11,295,1,2,1,112,At Risk,295
16282,1/4/2019 0:00,1340.98,11,330,1,1,1,111,At Risk,330
15586,3/4/2019 0:00,486.72,11,271,1,1,1,111,At Risk,271
13973,2/25/2019 0:00,1327.31,11,278,1,1,1,111,At Risk,278
17862,1/20/2019 0:00,1363.94,11,314,1,1,1,111,At Risk,314
12896,7/4/2019 0:00,77.61,11,149,1,1,2,211,Casual Shoppers,149
15219,6/16/2019 0:00,825.82,11,167,1,1,2,211,Casual Shoppers,167
13962,11/18/2019 0:00,1065.54,11,12,1,1,5,511,Casual Shoppers,12
18154,10/27/2019 0:00,1732.2,11,34,1,2,4,412,Casual Shoppers,34
18274,11/9/2019 0:00,1082.32,11,21,1,1,4,411,Casual Shoppers,21
16557,11/15/2019 0:00,1426.54,11,15,1,1,4,411,Casual Shoppers,15
16865,7/21/2019 0:00,1469.62,11,132,1,1,2,211,Casual Shoppers,132
15096,10/28/2019 0:00,1454.75,11,33,1,1,4,411,Casual Shoppers,33
16338,7/5/2019 0:00,1121.7,11,148,1,1,2,211,Casual Shoppers,148
14806,9/25/2019 0:00,3580.5,11,66,1,3,3,313,High-Potential Customers,66
13926,11/16/2019 0:00,1295.26,11,14,1,1,4,411,Casual Shoppers,14
14377,6/1/2019 0:00,2877.11,11,182,1,2,2,212,Casual Shoppers,182
15174,1/21/2019 0:00,1506.16,11,313,1,2,1,112,At Risk,313
17603,9/22/2019 0:00,2075.24,11,69,1,2,3,312,Casual Shoppers,69
12871,9/16/2019 0:00,2439.66,11,75,1,2,2,212,Casual Shoppers,75
15922,12/1/2018 0:00,1792.92,11,364,1,2,1,112,At Risk,364
13980,10/10/2019 0:00,1968.06,11,51,1,2,3,312,Casual Shoppers,51
16124,1/26/2019 0:00,747.2,11,308,1,1,1,111,At Risk,308
12962,8/18/2019 0:00,914.56,11,104,1,1,2,211,Casual Shoppers,104
15766,10/6/2019 0:00,2065.12,11,55,1,2,3,312,Casual Shoppers,55
17517,2/4/2019 0:00,1203.22,11,299,1,1,1,111,At Risk,299
17030,10/7/2019 0:00,1536.3,11,54,1,2,3,312,Casual Shoppers,54
17386,9/1/2019 0:00,12202.86,11,90,1,4,2,214,At Risk,90
16846,10/20/2019 0:00,1603.3,11,41,1,2,3,312,Casual Shoppers,41
13858,10/13/2019 0:00,990.23,11,48,1,1,3,311,Casual Shoppers,48
15935,4/14/2019 0:00,1279.16,11,230,1,1,1,111,At Risk,230
13262,3/21/2019 0:00,1486.55,11,254,1,2,1,112,At Risk,254
16829,7/6/2019 0:00,1216.76,11,147,1,1,2,211,Casual Shoppers,147
14355,12/9/2018 0:00,1121.74,11,356,1,1,1,111,At Risk,356
14860,11/20/2019 0:00,2552.6,11,10,1,2,5,512,Casual Shoppers,10
14863,11/10/2019 0:00,1626.48,11,20,1,2,4,412,Casual Shoppers,20
14929,11/7/2019 0:00,1623.34,11,23,1,2,4,412,Casual Shoppers,23
13182,10/25/2019 0:00,2184.32,11,36,1,2,3,312,Casual Shoppers,36
17670,4/26/2019 0:00,1338.14,11,218,1,1,1,111,At Risk,218
14012,3/7/2019 0:00,1977.24,11,268,1,2,1,112,At Risk,268
14761,10/12/2019 0:00,1471.7,11,49,1,1,3,311,Casual Shoppers,49
15462,9/6/2019 0:00,2003.24,11,85,1,2,2,212,Casual Shoppers,85
16836,10/31/2019 0:00,1949.5,11,30,1,2,4,412,Casual Shoppers,30
18270,11/1/2019 0:00,1325.28,11,29,1,1,4,411,Casual Shoppers,29
16179,10/10/2019 0:00,1112.09,11,51,1,1,3,311,Casual Shoppers,51
15724,5/22/2019 0:00,971.85,11,192,1,1,1,111,At Risk,192
17010,11/21/2019 0:00,1409.72,11,9,1,1,5,511,Casual Shoppers,9
16149,7/20/2019 0:00,1889.52,11,133,1,2,2,212,Casual Shoppers,133
15970,2/9/2019 0:00,1212.18,11,294,1,1,1,111,At Risk,294
16302,8/5/2019 0:00,1858.34,11,117,1,2,2,212,Casual Shoppers,117
17334,2/10/2019 0:00,3543.6,11,293,1,3,1,113,At Risk,293
13321,9/28/2019 0:00,4395.12,11,63,1,3,3,313,High-Potential Customers,63
14882,11/13/2019 0:00,2223.56,11,17,1,2,4,412,Casual Shoppers,17
13946,9/21/2019 0:00,5115.68,11,70,1,3,3,313,High-Potential Customers,70
13033,12/17/2018 0:00,740.11,11,348,1,1,1,111,At Risk,348
16450,7/13/2019 0:00,2130.56,11,140,1,2,2,212,Casual Shoppers,140
13631,9/1/2019 0:00,7933.28,11,90,1,4,2,214,At Risk,90
15473,11/25/2019 0:00,7633.76,11,5,1,4,5,514,Enthusiastic Spenders,5
13791,8/4/2019 0:00,9126,11,118,1,4,2,214,At Risk,118
13857,5/19/2019 0:00,1735.48,11,195,1,2,1,112,At Risk,195
17349,6/13/2019 0:00,1146.11,8,170,1,1,2,211,Casual Shoppers,170
16913,2/22/2019 0:00,956.81,8,281,1,1,1,111,At Risk,281
13161,1/30/2019 0:00,412.75,8,304,1,1,1,111,At Risk,304
12970,1/21/2019 0:00,100.41,8,313,1,1,1,111,At Risk,313
14492,1/18/2019 0:00,113.45,8,316,1,1,1,111,At Risk,316
13992,11/9/2019 0:00,772.66,8,21,1,1,4,411,Casual Shoppers,21
16658,12/6/2018 0:00,536.25,8,359,1,1,1,111,At Risk,359
13101,4/19/2019 0:00,1262.04,8,225,1,1,1,111,At Risk,225
12089,3/20/2019 0:00,1179.53,8,255,1,1,1,111,At Risk,255
14693,3/20/2019 0:00,525.72,8,255,1,1,1,111,At Risk,255
13059,4/4/2019 0:00,546.64,8,240,1,1,1,111,At Risk,240
17881,2/8/2019 0:00,464.68,8,295,1,1,1,111,At Risk,295
13058,11/15/2019 0:00,811.13,8,15,1,1,4,411,Casual Shoppers,15
18138,2/17/2019 0:00,545.9,8,286,1,1,1,111,At Risk,286
15843,2/9/2019 0:00,398.61,8,294,1,1,1,111,At Risk,294
17668,11/1/2019 0:00,483.59,8,29,1,1,4,411,Casual Shoppers,29
17643,12/1/2018 0:00,831.87,8,364,1,1,1,111,At Risk,364
18277,10/12/2019 0:00,810.16,8,49,1,1,3,311,Casual Shoppers,49
14368,1/24/2019 0:00,527.88,8,310,1,1,1,111,At Risk,310
16849,6/6/2019 0:00,465.89,8,177,1,1,2,211,Casual Shoppers,177
14248,1/25/2019 0:00,1355.5,8,309,1,1,1,111,At Risk,309
14280,5/27/2019 0:00,670.33,8,187,1,1,1,111,At Risk,187
15226,2/2/2019 0:00,885.92,8,301,1,1,1,111,At Risk,301
16432,10/6/2019 0:00,3123.86,8,55,1,2,3,312,Casual Shoppers,55
15405,6/3/2019 0:00,2336.32,8,180,1,2,2,212,Casual Shoppers,180
14406,8/12/2019 0:00,826,8,110,1,1,2,211,Casual Shoppers,110
